Name,address,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,tele,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,ulc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Clear Skye Treatment Center ,104 Willis Street ,Gaffney,SC,29341,,Cherokee,800-792-9030,,864-340-9000,,http://,35.0663525,-81.6621526,SA,1,,,,,1,1,,,1,,,,,,,,,,1,,1,,,1,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,1,1,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,1,,,,,1,,,,1,,1,,,,,,,,,,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee County Commission on Alcohol and Drug Abuse,201 West Montgomery Street ,Gaffney,SC,29341,,Cherokee,864-487-2721,,,,http://www.cherokeerecovery.com,35.071333,-81.6535494,SA,1,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,1,,1,,,1,,1,,,,,1,1,1,1,1,1,1,1,,1,1,,,,,,,1,,1,1,1,1,,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,,1,,,1,1,1,,1,,,1,1,,1,,,,1,1,,,,1,1,1,,,,,1,,,,1,1,1,,,,,,,,,,,,,,1,1,,1,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmetto Carolina Treatment Center ,325 Inglesby Parkway Unit F,Duncan,SC,29334,,Spartanburg,864-433-8443,,,,http://carolinatreatmentcenters.com,34.912394,-82.1136047,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,,,1,1,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,,,1,1,1,1,,,,,,1,,1,1,,1,1,1,,1,1,1,,1,,,,1,,,1,1,1,1,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHG XXXVIII LLC BHG Spartanburg Treatment Center,239 Access Road ,Spartanburg,SC,29303,,Spartanburg,864-503-0207,,,,http://,34.9960107,-81.9832665,SA,1,,,,,1,1,,,1,,,,,,,,,,1,,1,,1,1,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,1,1,1,1,,,,1,,,,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,,,,1,,1,,,,1,,,1,1,1,1,,,,,1,,,,1,,,1,1,1,,,,,1,1,1,,,,,1,1,,1,,,1,,,,1,1,,,,,,,,,,,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Life Center Commission on Alc and Other Drug Abuse Services,651 Grays Highway ,Ridgeland,SC,29936,,Jasper,843-726-5996,,,,http://newlifecenteradc.org,32.49202664,-80.9866941,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,1,,1,,,1,,,,,1,1,,1,,,,1,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,,,,1,,,,,,,1,,1,1,1,,1,1,,1,,,,1,,1,,,1,1,,,1,,1,,,,,,,1,1,1,,,1,,1,,,1,,,,1,1,,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Treatment Center Charleston,2470 Mall Drive Suites B- D,Charleston,SC,29406,,Charleston,843-207-4721,,,,http://Crosstreatmentcenters.com,32.8757802,-80.0137771,SA,1,,1,,,1,,,,1,,,1,,,,,,,1,1,1,,1,1,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,1,1,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,,,,1,,,,,,,,1,,,,1,1,,,,1,1,,,,,,,,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Center for Behavioral Health ,2700 East Phillips Road ,Greer,SC,29650,,Greenville,864-235-2335,,,,http://www.thecarolinacenter.com,34.86951,-82.227765,SA,1,1,,,,,,,,1,,,,,,1,,,,,,1,1,,1,1,1,,1,,1,,1,,,,,1,1,1,,1,1,,,1,,,,,,,,,1,1,1,,,,,,1,,1,1,1,1,,,,,1,,1,,,,,,1,,,1,1,,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,,1,,1,,,1,1,,,,,1,,,,1,,1,1,1,1,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,,,,1,1,,,,1,,,1,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Treatment Center of Greenville PC,157 Brozzini Court Suite C,Greenville,SC,29615,,Greenville,864-288-7636,,,800-805-6989,http://www.crossroadstreatmentcenters.com,34.8517094,-82.2558313,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,,1,1,,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,,,,,,,,,,,1,1,,,,,1,,,,,1,1,,1,,,1,,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOPE for Families Recovery Center ,136 Milestone Way ,Greenville,SC,29615,,Greenville,864-906-2395,,,,http://www.hopeforfamiliesrecoverycenter.com,34.8640068,-82.2733872,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,1,1,,,,,1,,,,,,,,,,1,1,1,,,,1,,,,1,,,,,1,1,,,,,1,,,,1,,,1,1,1,,,,,,,,1,,,,,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternatives Life Improvement Ctr Inc Charleston Office,2114 Cosgrove Avenue ,North Charleston,SC,29405,,Charleston,843-767-4477,,,,http://,32.8551514,-79.9774554,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,1,1,,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,1,,1,,,1,1,1,1,,,,,1,,,1,1,,1,1,1,1,,1,1,,1,,,1,,1,1,1,1,,,1,1,1,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Behavioral Health South Carolina Inc,2301 Cosgrove Avenue Suite F,North Charleston,SC,29405,,Charleston,843-529-0700,,,,http://centerforbehavioralhealth.com,32.847943,-79.979535,SA,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,1,1,1,1,1,,1,,1,,,,1,,,,1,1,,1,1,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,1,,,,,,,,,,1,,,,,1,,,1,1,,,,,,,1,,,,,1,,,1,1,,,1,1,1,1,1,1,,1,,,1,1,1,1,,,,,1,1,,,1,,,1,1,1,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,,1,1,,1,1,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Center Detoxification Unit,130 Industrial Drive Suite 130,Greenville,SC,29607,,Greenville,864-467-3770,,,,http://www.phoenixcenter.org,34.8373165,-82.3501461,SA,,1,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,1,,,1,1,,,,1,,,,,,1,,,,,,,,1,,,1,,1,,,1,,,,,1,1,,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,,1,,,1,1,,,1,,,1,,1,,1,,,1,1,1,1,,,,,,,,,1,,,1,1,1,,,,,1,1,1,1,,,,,1,,1,1,,,,,1,1,1,,,1,,1,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenville Metro Treatment Center Metro Treatment of South Carolina LP,602 Airport Road Suite C,Greenville,SC,29607,,Greenville,864-234-7952 x15505,Intakes,864-234-7952,877-284-7074,http://www.newseason.com/,34.8441429,-82.3444683,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,,,1,1,1,,,,,,1,1,,,,,1,1,,,1,1,1,,1,,1,,,,,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmetto Lowcountry Behavioral Hlth ,2777 Speissegger Drive ,North Charleston,SC,29405,,Charleston,843-747-5830,,,877-947-3223,http://www.palmettobehavioralhealth.com,32.839278,-79.974371,SA,1,1,,,,,,,,1,1,,,,,,,1,,,,1,,,1,1,,1,,,1,,1,,,,,,1,1,,1,1,,,1,,,,,,,,,1,1,1,,,,,,1,1,1,1,1,1,,,,,1,,,,1,1,1,,1,,,1,1,,,,,1,1,1,1,1,1,1,,,1,1,,,1,1,1,1,1,1,,1,,1,,,1,1,,,,,1,1,,,1,,1,1,1,1,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,,1,1,,1,,1,1,1,1,,1,,,1,,,1,,,1,1,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Center Adult Outpatient Services,1400 Cleveland Street ,Greenville,SC,29607,,Greenville,864-467-3790,,,864-467-3794,http://www.phoenixcenter.org,34.8222,-82.374385,SA,1,,,,,1,1,,,1,1,1,,,,,,,,,,1,,1,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,1,,,1,,,,,1,,,,,1,1,,1,1,,,1,1,1,1,1,,,,,,1,,,,1,1,,,,,,,,,,,,1,,1,1,1,,1,1,,1,,1,,1,,1,,,1,1,,,1,,,,,,1,,,1,1,1,,,1,,1,1,1,1,,,,1,1,1,1,1,,1,,,1,1,1,,,1,,,,,,1,,1,1,1,1,,,,,,,,,,,1,1,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavillon Greenville Outpatient Services,1011 East Washington Street ,Greenville,SC,29601,,Greenville,864-241-6688,,,828-694-2300,http://www.pavillon.org,34.868169,-82.348753,SA,1,,,,,,,,1,,1,1,,,,,,,,,,1,1,1,1,1,1,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,1,,,1,,,,,1,,,,1,,,,,,,,1,,,,,,,,,1,1,,,,,1,1,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,1,,1,1,,1,1,1,1,1,,,,,,,1,,1,1,1,1,,,1,1,1,1,,,,,1,,1,1,1,1,1,,1,,,,,1,,,1,,1,,,,,,1,1,,,1,,,,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solutions Recovery Center ,520 Lowndes Hill Road ,Greenville,SC,29607,,Greenville,888-819-4214,,,864-567-7010,http://www.solutionsrecoverycenter.com,34.8530507,-82.3687284,SA,1,,,,,,,,,,,,,1,,,,1,,,,1,,,1,1,,,1,,,,1,,,,,,1,1,1,,,,,,,,,,,,1,,1,,,1,1,,,,1,,,,1,,,,1,,,1,1,,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,,,1,1,,,1,1,1,,1,,1,1,1,,1,,1,,1,1,,,1,1,1,1,,1,,,1,,1,,1,1,1,,,,,,,,,,1,,,,1,,,,1,,,1,,,,,,,1,,,1,1,1,1,,1,,,,,,,1,,,,,,,1,,,,1,,,,,1,,,
Phoenix Center Serenity Place/Womens Residential,6 Dunean Street ,Greenville,SC,29602,,Greenville,864-467-3881,,,,http://www.phoenixcenter.org,34.828785,-82.424372,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,,1,,,1,,1,1,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,1,1,,,1,,,1,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,,1,1,1,,,1,1,,1,1,1,,,,,,1,,,,1,1,,1,1,1,,,,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addcare Counseling Inc ,413 Vardry Street Suite 7,Greenville,SC,29601,3331,Greenville,864-467-1319,,864-467-1319 x1,,http://www.addcarecounseling.com,34.8412398,-82.4108609,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,,1,1,1,1,,1,1,1,1,1,,1,,1,,,1,1,,,,,1,,,1,,,,1,1,1,,1,,,,,,1,,1,,,1,,,,1,1,1,,,,,1,,1,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Carolina Trt Ctr LLC ,341 West Beltline Boulevard ,Anderson,SC,29625,,Anderson,864-222-9798,,,864-222-8419,http://carolinatreatmentcenters.com,34.547415,-82.6763168,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,1,1,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,,,,,1,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,1,1,1,1,1,,,1,,,1,1,1,1,1,1,,,,,,,1,,,1,1,1,,,,,1,1,,,,,,1,1,,,1,,1,,1,,1,1,1,,,,,,,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson/Oconee Behavioral Health Services,226 McGee Road ,Anderson,SC,29625,,Anderson,864-260-4168,,,,http://www.aobhs.org,34.5346246,-82.6869459,SA,1,,,,,,,,1,,1,1,,,,,,,,,,1,1,1,1,1,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,1,,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,,1,1,,,,,1,,1,1,1,1,,1,,,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,,,,,1,1,,,1,,1,,,1,1,1,,1,1,1,,1,1,,1,1,1,1,,,,1,1,,,1,1,1,1,,1,,1,1,,,,1,1,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miracle Hill Overcomers Center,1916 North Pleasantburg Drive ,Greenville,SC,29609,4036,Greenville,864-631-0088,,,,http://www.miraclehill.org/,34.8866171,-82.3697259,SA,1,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,1,1,1,1,1,1,,,1,,,1,1,,1,,,,,1,,,1,1,,,,1,1,,,,1,,,,,,1,,1,1,,,1,1,1,,,1,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort County Alcohol and Drug Abuse Department,1905 Duke Street Suite 270,Beaufort,SC,29902,,Beaufort,843-255-6000,,,,http://www.bcgov.net,32.4373625,-80.6833621,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,,1,,,,,1,,,,,,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,,1,,,1,,,1,1,,,,,,1,,1,,,,,,,,1,,,,,,,1,,1,1,1,,1,1,,1,,,,1,,,,,1,1,,,1,,1,,,,1,,,1,1,1,,,,,1,,,1,,,,1,1,,,,1,1,,,,,,1,,,,1,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miracle Hill Renewal Center,19 Graves Drive ,Greenville,SC,29609,,Greenville,864-242-2166 x7433,,864-242-2166,,http://www.miraclehill.org/,34.8816064,-82.3881971,SA,1,,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,1,1,,,,,,1,,,1,1,1,,,,,,,,,,1,,,1,1,1,,1,,1,,,,1,,,,1,1,,,,1,1,1,,1,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph H Johnson VA Medical Center Substance Trt and Recovery (STAR),109 Bee Street ,Charleston,SC,29401,,Charleston,843-789-7311,,,,http://www.charleston.va.gov,32.7841197,-79.9540689,SA,1,1,,,,1,,,1,1,1,1,,,,1,,,,,,1,1,1,1,1,,,1,,1,,1,,,,1,1,,1,1,1,,,1,,1,,,,,,,,,,1,,,,,,,1,,,1,1,,1,,,,,,,1,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,1,,,1,1,,,,,,,1,,,,1,1,1,1,1,,,,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Center of Charleston Cnty ,5 Charleston Center Drive ,Charleston,SC,29401,,Charleston,843-958-3300,,843-722-0100,,http://www.charlestoncounty.org,32.7820813,-79.9527373,SA,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,,1,1,1,1,,1,,1,1,1,1,,1,1,1,,1,1,1,1,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,1,1,1,,,,,1,,1,1,1,,1,1,,,,,1,1,,,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,,,,1,1,,,1,,1,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Lighthouse Care and Counseling ,6257 White Horse Road ,Greenville,SC,29611,,Greenville,864-283-0745,,,,http://lighthousecareandcounseling.com,34.859856,-82.462242,SA,1,,,,,1,1,,,1,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,1,1,,,,,,1,,,,,,,,1,,1,1,,1,,,,,,1,,,1,1,1,1,,,,,1,1,,,,,,1,1,1,,,,,,1,,,,,,1,1,1,1,,,1,,,,,1,1,,1,,,1,1,,,,1,1,1,,1,1,,,,,,,,,,1,,,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith Family MD ,990 Lake Hunter Circle Suite 101-B,Mount Pleasant,SC,29464,,Charleston,843-972-8136,,,,http://smithfamilymd.com,32.8152841,-79.8635678,SA,1,1,,,,1,1,1,1,1,1,1,,,,,,1,,,,1,1,1,1,,,1,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,,,,1,1,,,,,,1,,,,,1,1,,,,,1,,1,,1,,1,1,1,,,,,,,1,1,,1,,1,,1,1,1,,1,1,,1,,,1,,,,1,,1,1,,1,,1,1,1,1,1,1,,,1,,,1,,,,1,,,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Pleasant Hospital Park West Family Practice,"3510 Highway 17 North Medical Office Building, Suite 320",Mount Pleasant,SC,29466,,Charleston,843-971-3361,,,,http://,32.8781097,-79.7681281,SA,1,1,,,,1,1,1,1,1,1,1,,,,,,1,,,,1,1,1,1,,,1,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,,,,1,1,,,,,,1,,,,,1,1,,,,,1,,1,,1,,1,1,1,,,,,,,1,1,,1,,1,,1,1,1,,1,1,,1,,,1,,,,1,,1,1,,1,,1,1,1,1,1,1,,,1,,,1,,,,1,,,,1,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Concepts LLC ,124A Boardwalk Drive ,Ridgeland,SC,29936,,Jasper,843-645-2770,,,843-288-1914,http://www.recoveryconceptsllc.com,32.3351477,-80.9379271,SA,1,1,1,1,1,1,1,1,,1,,,1,,,,,,,1,1,1,1,,1,1,1,,1,,,,1,,,,1,1,,,1,,,,,,,,,,,,1,1,1,,,1,,,,,1,1,,,,,,1,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,1,,,1,1,1,1,,1,1,1,1,,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,1,1,,1,1,1,1,,,,1,1,1,1,,1,1,1,,,1,1,1,,1,,,,,,,1,,1,1,,,1,,,1,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lantana Recovery ,1470 Ben Sawyer Boulevard Suite 6,Mount Pleasant,SC,29464,,Charleston,843-352-9982,,,,http://www.lantanarecovery.com/,32.790148,-79.8519068,SA,1,,,,,1,1,,1,1,1,1,,1,,1,,1,,,,1,1,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,1,,,,1,,1,,,1,1,,,,,1,1,,,1,,1,1,1,1,1,,,,,,,,,1,1,1,1,,,1,1,1,1,,,,,1,,,1,1,1,1,,1,,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Center White Horse Academy,975 Foot Hills Road ,Greenville,SC,29617,,Greenville,864-371-1280,,,864-371-1265,http://www.phoenixcenter.org,34.943012,-82.44411,SA,1,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1,1,1,,,,1,1,,1,,,,,1,1,,,,,,,,,1,,,1,,,,,1,,,,,1,1,,1,1,,,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,1,,1,,1,1,1,1,1,,,,,,,,,,,1,1,1,1,,,1,1,1,1,1,1,,1,,,1,,,1,1,1,1,1,1,1,1,1,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recovery Concepts of Carolina Upstate ,1653 East Main Street ,Easley,SC,29640,,Pickens,864-306-8533 x209,,864-306-8533,,http://www.recoveryconcepts.us,34.8293693,-82.5735751,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,1,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,,,,,1,1,1,1,,,1,,,1,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home With a Heart ,220 James Mattison Road ,Liberty,SC,29657,,Pickens,864-843-3058,,,877-843-3058,http://homewithaheart.com,34.7219846,-82.6854673,SA,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,1,,,,1,,,,1,,1,,,1,,,,,,,,,1,1,1,1,1,,,,1,,,1,,,1,1,,1,,,,,1,,,,1,,,1,1,1,,,,1,,,,,,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
