name_of_facility,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
HEARTLAND OF WEST ASHLEY REHABILITATION AND NURSING CENTER,32.823285,-79.990383,1137 Sam Rittenberg Blvd,Charleston,SC,29407,Charleston County,US,Match,Exact,108855181,R,45,019,002606,2004
HEARTS & HANDS CLA LLC,33.682123,-79.838092,1362 Fulton Ave,Kingstree,SC,29556,Williamsburg County,US,Match,Exact,29189626,R,45,089,970601,1023
HEARTS IN HANDS,34.195082,-79.802986,1904 W Evans St,Florence,SC,29501,Florence County,US,Match,Non_Exact,640541173,L,45,041,001100,1006
HEAT STREET,34.176123,-79.809731,2421 2nd Loop Rd,Florence,SC,29501,Florence County,US,Match,Exact,28877707,R,45,041,001300,3002
HEATH SPRINGS RESIDENTIAL CARE CENTER,34.593911,-80.670333,614 Hart St,Heath Springs,SC,29058,Lancaster County,US,Match,Exact,639885541,R,45,057,010300,3028
"HEATH, JANE F.",34.193025,-79.77042,307 S Coit St,Florence,SC,29501,Florence County,US,Tie,,,,,,,
HEAVEN SENT CAREGIVERS,35.092554,-81.633127,1622 N Limestone St,Gaffney,SC,29340,Cherokee County,US,Match,Non_Exact,18987999,R,45,021,970302,2004
HEAVEN SENT HELPERS LLC,34.019053,-81.002185,1815 St Julian Pl,Columbia,SC,29204,Richland County,US,Match,Exact,71821924,L,45,079,001100,1039
HEAVENLY CARE SERVICES,34.825174,-82.396068,1990 Augusta St,Greenville,SC,29605,Greenville County,US,Match,Exact,38301686,R,45,045,001501,2035
HEAVENLY HANDS LLC,33.920304,-80.345668,214 W Liberty St,Sumter,SC,29150,Sumter County,US,Tie,,,,,,,
HEAVENLY HEART HOME CARE LLC,32.929432,-80.06991,3247 Landmark Dr,North Charleston,SC,29418,Charleston County,US,Match,Exact,605506649,R,45,019,003108,2004
HEAVENLY HELPERS NURSING SERVICES,33.682405,-78.994852,103 Cimeron Dr,Myrtle Beach,SC,29588,Horry County,US,Match,Non_Exact,647256288,L,45,051,051502,1008
HEAVENLY WORKERS IN HOME CARE,33.92052,-80.337152,201 E Liberty St,Sumter,SC,29150,Sumter County,US,Tie,,,,,,,
HEAVENS ANGEL HOME CARE AGENCY,34.969399,-82.438992,1 S Poinsett Hwy,Travelers Rest,SC,29690,Greenville County,US,Match,Non_Exact,38294825,L,45,045,003905,2057
HELENA PLACE,32.382016,-80.69219,1624 Paris Ave,Port Royal,SC,29935,Beaufort County,US,Match,Exact,646135714,R,45,013,000800,2033
HELMS-GORDON RESIDENTIAL CARE HOME,34.688735,-80.911822,716 State Rd 665,Fort Lawn,SC,29714,Chester County,US,No_Match,,,,,,,
HELP AT HOME,34.170598,-79.830842,1330 Celebration Blvd,Florence,SC,29501,Florence County,US,Match,Exact,645421198,L,45,041,000202,3000
HELP AT HOME LLC (AIKEN),33.52177,-81.719932,942 Millbrook Ave,Aiken,SC,29803,Aiken County,US,Match,Exact,65023904,R,45,003,021204,1000
HELPERS OF THE VINE,34.860648,-82.391774,110 E Stone Ave,Greenville,SC,29609,Greenville County,US,Tie,,,,,,,
HELPFUL HEARTS CARE SERVICES,34.866052,-82.381402,427 Wade Hampton Blvd,Greenville,SC,29609,Greenville County,US,Match,Exact,38357661,L,45,045,001101,4028
HELPFUL HEARTS HOME CARE,34.928411,-81.964972,1220 John B White Sr Blvd,Spartanburg,SC,29306,Spartanburg County,US,Match,Exact,630905446,R,45,083,020603,3012
HELPING HANDS ADULT DAY CARE MEMORY SUPPORT,33.975189,-81.052523,2010 State St,Cayce,SC,29033,Lexington County,US,Match,Exact,70056437,R,45,063,020201,2056
HELPING HANDS ADULT DAY SERVICES,33.983755,-81.055459,1111 State St,Cayce,SC,29033,Lexington County,US,Match,Exact,70056233,L,45,063,020201,1009
HELPING HANDS CAREGIVERS LLC,34.100248,-80.917676,9418 US Hwy 1,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
HELPING HANDS HEALING HEARTS,32.297634,-80.934635,107 Traders Cross,Okatie,SC,29909,Beaufort County,US,No_Match,,,,,,,
HELPING HANDS HOME CARE SERVICES,33.939571,-79.936269,227 W Main St,Olanta,SC,29114,Florence County,US,Tie,,,,,,,
HELPING HANDS HOSPICE OF SOUTH CAROLINA,33.472923,-81.726931,136 Sporthorse Ln,Aiken,SC,29803,Aiken County,US,Match,Exact,640724335,R,45,003,021205,2037
HELPING HEARTS LLC,34.174578,-79.821641,908 S Parker Dr,Florence,SC,29501,Florence County,US,Match,Exact,28877346,L,45,041,000202,4007
"HENDERSON, CYNTHIA J.",34.246324,-80.593516,53 Burndale Ln,Camden,SC,29020,Kershaw County,US,Match,Exact,78485955,R,45,055,970800,2000
HENDRIX STREET GROUP HOME,33.982133,-81.246708,425 Hendrix St,Lexington,SC,29072,Lexington County,US,Match,Exact,70085933,R,45,063,021029,2019
HENRY & FREIDA BONDS HABILITATION CENTER,34.17152,-82.190307,310 Jenkins Springs Rd,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50818192,L,45,047,970402,1013
HERITAGE AT LOWMAN RESIDENTIAL CARE,34.144126,-81.275121,152 Lowman Home Rd,Chapin,SC,29036,Richland County,US,Match,Exact,71854436,L,45,079,010311,2049
HERITAGE HOME OF FLORENCE,34.188782,-79.774511,515 Warley St,Florence,SC,29501,Florence County,US,Match,Exact,28878283,R,45,041,001000,1034
HERO TATTOO,33.802902,-79.000467,1833 Lone Star St,Conway,SC,29526,Horry County,US,Match,Exact,648911960,L,45,051,060404,1011
HERO TATTOO MB,33.704655,-78.929842,530 Piedmont Ave,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,29056956,L,45,051,050902,1045
HERRIOTT'S RESIDENTIAL CARE FACILITY,33.90248,-80.337711,114 Lime Ln,Sumter,SC,29150,Sumter County,US,Match,Exact,202700687,R,45,085,001600,2004
HILLS OF CUMBERLAND VILLAGE,33.557994,-81.772138,1025 Westcliff Dr,Aiken,SC,29801,Aiken County,US,Match,Non_Exact,64989569,R,45,003,021300,3165
HILLTOP OF GREENVILLE MEMORY CARE,34.860755,-82.340054,352 Pelham Rd,Greenville,SC,29615,Greenville County,US,Match,Exact,640588897,R,45,045,001810,1000
HILTON HEAD HOSPITAL,32.2248,-80.713254,35 Bill Fries Dr,Hilton Head Island,SC,29926,Beaufort County,US,Match,Exact,614689989,R,45,013,010700,2014
HITCHCOCK PLACE,33.513792,-81.737463,211 Centre South Blvd,Aiken,SC,29803,Aiken County,US,No_Match,,,,,,,
HMC FAMILY SERVICES,35.302376,-80.753109,8320 University Executive Park Dr,Charlotte,NC,28262,Mecklenburg County,US,Match,Exact,642346536,L,37,119,005536,3013
"HOBLER, JUSTIN",33.70229,-78.960617,1121 Peace Pipe Pl,Myrtle Beach,SC,29579,Horry County,US,Match,Exact,631217013,L,45,051,060204,2018
"HOGUE, MICHAEL J.",33.032667,-80.066573,169 Balbriggan Dr,Goose Creek,SC,29445,Berkeley County,US,Match,Exact,605130333,L,45,015,020719,2005
HOLISTIC HEALTH,33.52177,-81.719932,942 Millbrook Ave,Aiken,SC,29803,Aiken County,US,Match,Exact,65023904,R,45,003,021204,1000
HOLLY HILL DIALYSIS CLINIC,33.32226,-80.413247,8532 Old State Rd,Holly Hill,SC,29059,Orangeburg County,US,No_Match,,,,,,,
HOLLYWOOD RAVENEL DIALYSIS CLINIC,32.782919,-80.15133,4360 Savannah Hwy,Ravenel,SC,29470,Charleston County,US,Match,Exact,605533850,L,45,019,005800,1041
"HOLT, ROSE M.",34.166576,-79.808872,2118 3rd Loop Rd,Florence,SC,29501,Florence County,US,Match,Exact,28877728,L,45,041,001300,2007
HOLY CITY TATTOOING COLLECTIVE,32.788907,-80.023511,1916 Savannah Hwy,Charleston,SC,29407,Charleston County,US,Match,Exact,647140997,R,45,019,002701,1028
HOME AIDE,33.34939,-79.294004,1710 S Fraser St,Georgetown,SC,29440,Georgetown County,US,No_Match,,,,,,,
HOME BY CHOICE-FIRST UP INC,34.56173,-82.698438,4152 Clemson Blvd,Anderson,SC,29621,Anderson County,US,No_Match,,,,,,,
HOME CARE ASSISTANCE OF S CAROLINA BEACH,33.486227,-79.09994,41 St Paul Pl,Pawleys Island,SC,29585,Georgetown County,US,No_Match,,,,,,,
HOME CARE ASSISTANCE OF SOUTH CAROLINA,34.874904,-82.330113,620 Howell Rd,Greenville,SC,29615,Greenville County,US,Match,Exact,38322301,R,45,045,001805,1023
HOME CARE ASSISTANCE OF THE LOW COUNTRY,32.787967,-80.014984,1662 Savannah Hwy,Charleston,SC,29407,Charleston County,US,Match,Exact,108855228,R,45,019,002702,3008
HOME CARE DIRECT LLC,33.856174,-78.805436,7209 Hwy 90,Longs,SC,29568,Horry County,US,No_Match,,,,,,,
HOME CARE HELPERS USA LLC,33.778977,-78.786978,620 Chestnut Rd,Myrtle Beach,SC,29572,Horry County,US,Match,Exact,635646418,R,45,051,050200,1005
HOME CARE OF HOSPICECARE OF THE PIEDMONT,34.172855,-82.160215,408 Alexander Ave W,Greenwood,SC,29646,Greenwood County,US,No_Match,,,,,,,
HOME CARE OF LANCASTER,34.71777,-80.787595,800 W Meeting St,Lancaster,SC,29720,Lancaster County,US,Match,Non_Exact,606678473,R,45,057,010800,2001
HOME CARE OF MYRTLE BEACH LLC,33.819506,-78.691352,1004 S Hwy 17,North Myrtle Beach,SC,29582,Horry County,US,No_Match,,,,,,,
HOME CARE ON DEMAND,34.778464,-82.308313,14 A E Butler Rd,Mauldin,SC,29662,Greenville County,US,Match,Exact,38341198,R,45,045,002903,1026
HOME CARE PLUS,32.809134,-79.886125,800 Runaway Bay Ln,Mount Pleasant,SC,29464,Charleston County,US,Match,Exact,646665911,R,45,019,004621,4006
HOME HEALTH SERVICES OF SELF REGIONAL HEALTHCARE,34.160557,-82.175724,105 Vinecrest Ct,Greenwood,SC,29646,Greenwood County,US,Match,Exact,617916893,L,45,047,970401,3078
HOME HELPERS & DIRECT LINK OF FAIRFIELD SC,34.694629,-80.760928,1559 Lynwood Dr,Lancaster,SC,29720,Lancaster County,US,Match,Exact,40693832,R,45,057,010600,1022
HOME HELPERS CAREGIVING SERVICES,33.099002,-80.310262,105 School St,Ridgeville,SC,29472,Dorchester County,US,Match,Exact,178456488,R,45,035,010400,1023
HOME HELPERS HOME CARE OF COASTAL SC,32.856487,-79.790705,1192 Crystal Dr,Mount Pleasant,SC,29466,Charleston County,US,Match,Non_Exact,617154430,L,45,019,004609,4039
HOME HELPERS OF THE LOWCOUNTRY,32.274504,-80.872792,14 Westbury Park Way,Bluffton,SC,29910,Beaufort County,US,Match,Exact,87646285,R,45,013,002107,1003
HOME INSTEAD SENIOR CARE,34.978195,-81.068207,4186 Old York Rd,Rock Hill,SC,29732,York County,US,Tie,,,,,,,
HOME INSTEAD SENIOR CARE - ANDERSON,34.51504,-82.646199,716 E Greenville St,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,25478738,R,45,007,000200,2032
HOME INSTEAD SENIOR CARE #788,33.508374,-82.115513,102 Lenox Dr,Augusta,GA,30907,Columbia County,US,Match,Exact,55376002,L,13,073,030201,1006
HOME INSTEAD SENIOR CARE OF BEAUFORT & JASPER COUNTIES,32.011467,-81.109034,301 Benfield Dr,Savannah,GA,31406,Chatham County,US,Match,Exact,6173491,L,13,051,004002,3001
HOME INSTEAD SENIOR CARE OF CHARLESTON,32.821081,-79.993645,11 Gamecock Ave,Charleston,SC,29407,Charleston County,US,Match,Exact,648771864,R,45,019,002604,3017
HOME INSTEAD SENIOR CARE OF COLUMBIA,34.099506,-80.918534,9384 US Hwy 1,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
HOME INSTEAD SENIOR CARE OF MURRELLS INLET,33.588563,-79.024581,11943 Grandhaven Dr,Murrells Inlet,SC,29576,Horry County,US,Match,Exact,630914250,L,45,051,051406,2000
HOME INSTEAD SENIOR CARE OF SPARTANBURG AND CHEROKEE COUNTIES,34.937314,-81.977375,1409 W O Ezell Blvd,Spartanburg,SC,29301,Spartanburg County,US,No_Match,,,,,,,
HOME INSTEAD SENIOR CARE PICKENS AND OCONEE COUNTY,34.706541,-82.991372,115 Bountyland Rd,Seneca,SC,29672,Oconee County,US,Match,Exact,635642496,R,45,073,030601,1012
HOME INSTEAD SENIOR CARE-GREENVILLE,34.86121,-82.272427,3505 C Pelham Rd,Greenville,SC,29615,Greenville County,US,No_Match,,,,,,,
HOME SWEET HOME IN-HOME CARE SERVICES,32.248983,-80.881301,299 Buck Island Rd,Bluffton,SC,29910,Beaufort County,US,Match,Exact,612416437,R,45,013,002107,1033
HOME WATCH CAREGIVERS OF COLUMBIA,34.086314,-80.937703,174 Dogwood Ct,Columbia,SC,29223,Richland County,US,Match,Exact,71837300,R,45,079,011412,1001
HOMEBRIDGE COMMUNITY SERVICES,34.95279,-81.028934,1330 India Hook Rd,Rock Hill,SC,29732,York County,US,Match,Exact,19797549,R,45,091,060803,4006
HOMECARE NURSES,34.913939,-82.335965,1115 Tanner Rd,Taylors,SC,29687,Greenville County,US,Match,Exact,640739769,L,45,045,002704,1027
HOMECARE OF THE REGIONAL MEDICAL CENTER,33.528665,-80.815079,592 Cook Rd,Orangeburg,SC,29118,Orangeburg County,US,Match,Exact,19235850,R,45,075,011100,2031
HOMECARE SOLUTIONS SC,34.044647,-81.124336,100 Ashland Park Ln,Columbia,SC,29210,Lexington County,US,Match,Exact,70073503,R,45,063,020510,2000
HOMECARE SOUTH SERVICES - LLC,33.828176,-81.795701,340 Lee,Johnston,SC,29832,Edgefield County,US,Match,Non_Exact,55835199,R,45,037,970300,4058
HOMESTEAD HOSPICE OF AUGUSTA,33.762804,-78.961246,215 Ronnie Ct,Myrtle Beach,SC,29579,Horry County,US,Match,Exact,630549036,R,45,051,060209,2017
HOMESTEAD HOSPICE OF CHARLESTON,33.021313,-80.172717,133 E 1st North St,Summerville,SC,29483,Dorchester County,US,Tie,,,,,,,
HOMESTEAD HOSPICE OF COLUMBIA,34.102953,-81.183738,7833 Broad River Rd,Irmo,SC,29063,Richland County,US,Match,Exact,71816137,R,45,079,010305,1018
HOMESTEAD HOSPICE OF GREENVILLE,34.852261,-82.381832,114 A Laurens Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,38301396,R,45,045,000100,1039
HOMEWATCH CAREGIVERS OF ROCK HILL,34.972284,-81.054706,2342 A Ebenezer Rd,Rock Hill,SC,29732,York County,US,Match,Exact,640504352,R,45,091,060700,4033
HOMEWATCH CAREGIVERS OF WEST ASHLEY,32.797609,-80.002143,1099 Playground Rd,Charleston,SC,29407,Charleston County,US,Match,Exact,647139765,L,45,019,002702,1046
HONOR AND GLORY TATTOO,35.049168,-82.106242,13041 Asheville Hwy,Inman,SC,29349,Spartanburg County,US,Match,Exact,19461598,L,45,083,022805,1007
HONORAGE NURSING CENTER,34.214882,-79.797663,1207 N Cashua Dr,Florence,SC,29501,Florence County,US,Tie,,,,,,,
HOPE & GRACE LLC,34.912605,-82.250937,1491 Henderson Gap Rd,Greer,SC,29650,Greenville County,US,Match,Exact,638473621,L,45,045,002503,3024
HOPE AND FREEDOM HOME CARE,33.843094,-79.060293,1400 Church St,Conway,SC,29526,Horry County,US,Match,Exact,29067669,R,45,051,070300,2002
HOPE BRIDGE AT THE HOLLIES,34.005094,-81.125103,2708 Hebron Dr,West Columbia,SC,29169,Lexington County,US,Match,Exact,650395348,L,45,063,020506,1014
HOPE BRIDGE AT THE OAKS,34.00386,-81.133764,3532 Leaphart Rd,West Columbia,SC,29169,Lexington County,US,Match,Exact,637482980,R,45,063,020506,1014
HOPE FOR FAMILIES RECOVERY CENTER,34.908874,-82.239909,1530 S Hwy 14,Greer,SC,29650,Greenville County,US,Match,Non_Exact,38310680,L,45,045,002503,2025
HOPE GARDENS LLC,34.196769,-79.784351,1001 W Evans St,Florence,SC,29501,Florence County,US,Match,Non_Exact,28877993,R,45,041,001100,2008
HOPE LOVE & COMPASSIONATE CARE,34.113725,-80.891105,149 Wildewood Park Dr,Columbia,SC,29223,Richland County,US,Match,Exact,71868439,L,45,079,011413,4000
HOPEWELL SENIOR DAY CARE CENTER,33.572944,-79.875367,1524 Dixie Rd,Salters,SC,29590,Williamsburg County,US,Match,Exact,29215900,R,45,089,970801,1039
HORIZON ADULT DAY CARE,34.549481,-82.670422,3420 Clemson Blvd,Anderson,SC,29621,Anderson County,US,Tie,,,,,,,
HORIZON HEALTHCARE SERVICES1,35.320412,-80.774424,8426 Medical Plaza Dr,Charlotte,NC,28262,Mecklenburg County,US,Match,Exact,70556583,L,37,119,005533,1012
HORRELL HILL COMMUNITY RESIDENCE,33.96329,-80.846727,1609 Ridge Rd,Hopkins,SC,29061,Richland County,US,Match,Exact,71846974,R,45,079,011902,3015
HORRY COUNTY DRUG COURT,33.833113,-79.045825,110 Laurel St,Conway,SC,29526,Horry County,US,No_Match,,,,,,,
HOSPICE & COMMUNITY CARE HOUSE,34.973611,-81.030025,2275 India Hook Rd,Rock Hill,SC,29732,York County,US,Match,Exact,19798989,L,45,091,060700,3001
HOSPICE & PALLIATIVE CARE PALMETTO REGION,34.986867,-80.874454,9322 Asbury Ln,Fort Mill,SC,29707,Lancaster County,US,Match,Exact,40706514,R,45,057,011205,1029
HOSPICE & PALLIATIVE CARE PALMETTO REGION-LAURENS COUNTY,34.458931,-81.861403,1304 Springdale Dr,Clinton,SC,29325,Laurens County,US,Match,Non_Exact,640166619,R,45,059,920800,1041
HOSPICE AND COMMUNITY CARE,34.971804,-81.029734,2241 India Hook Rd,Rock Hill,SC,29732,York County,US,Match,Exact,621901370,L,45,091,060700,3003
HOSPICE AND PALLIATIVE CARE OF THE PIEDMONT,34.172855,-82.160215,408 Alexander Ave W,Greenwood,SC,29646,Greenwood County,US,No_Match,,,,,,,
HOSPICE CARE OF SOUTH CAROLINA,34.981654,-81.894527,110 Dillon Dr,Spartanburg,SC,29307,Spartanburg County,US,Match,Non_Exact,19519233,L,45,083,021403,3010
HOSPICE CARE OF SOUTH CAROLINA LOWCOUNTRY,34.980619,-81.89454,123 Dillon Dr,Spartanburg,SC,29307,Spartanburg County,US,Match,Non_Exact,19519233,R,45,083,021403,3010
HOSPICE CARE OF THE LOWCOUNTRY INC,32.270291,-80.866956,7 Plantation Park Dr,Bluffton,SC,29910,Beaufort County,US,Match,Exact,87650622,R,45,013,002107,1008
HOSPICE COMPASSUS GREENVILLE/SPARTANBURG,34.832133,-82.405728,16 Mills Ave,Greenville,SC,29605,Greenville County,US,Match,Exact,38301510,R,45,045,000500,2025
HOSPICE HOUSE OF HOSPICE AND PALLIATIVE CARE OF THE PIEDMONT,34.172855,-82.160215,408 Alexander Ave W,Greenwood,SC,29646,Greenwood County,US,No_Match,,,,,,,
HOSPICE OF CHARLESTON,32.879839,-80.017551,NA I 26,North Charleston,SC,29418,Charleston County,US,No_Match,,,,,,,
HOSPICE OF LANCASTER AND THE PIEDMONT,34.715753,-80.790834,901 W Meeting St,Lancaster,SC,29720,Lancaster County,US,Match,Non_Exact,647208201,R,45,057,010500,1001
HOSPICE OF SCOTLAND COUNTY,34.631676,-79.69622,937 Cheraw St,Bennettsville,SC,29512,Marlboro County,US,Match,Exact,25848862,L,45,069,960202,1076
HOSPICE OF THE UPSTATE,34.522225,-82.618871,1835 Rogers Rd,Anderson,SC,29621,Anderson County,US,No_Match,,,,,,,
HOSPICE SERVICES OF SC,33.490336,-81.973692,227 West Ave,North Augusta,SC,29841,Aiken County,US,Match,Exact,64984402,R,45,003,020802,3029
"HOWARD, BRANDON D.",34.057672,-81.164801,250 Jimmy Love Ln,Columbia,SC,29212,Lexington County,US,Match,Exact,640905165,R,45,063,021109,1006
HOWLING DOG COLLECTIVE,34.069214,-81.142012,4018 Fernandina Rd,Columbia,SC,29212,Lexington County,US,Match,Exact,652403028,L,45,063,021111,3002
"HOYOS, BRENTON A.",33.01892,-80.056876,137 Fairhaven Dr,Goose Creek,SC,29445,Berkeley County,US,Match,Exact,100784638,L,45,015,020720,2001
HSSC HOMECARE,34.853199,-82.456843,137 Commons Way,Greenville,SC,29611,Greenville County,US,No_Match,,,,,,,
HUGHES STREET COMMUNITY RESIDENCE,34.693865,-82.190628,104 Hughes St,Fountain Inn,SC,29644,Greenville County,US,Match,Exact,636908370,R,45,045,003101,3033
HUNNINGTON HEALTHCARE SERVICES,35.320412,-80.774424,8426 Medical Plaza Dr,Charlotte,NC,28262,Mecklenburg County,US,Match,Exact,70556583,L,37,119,005533,1012
HUNT FAMILY HOME CARE,32.901767,-80.023059,NA I 26,Charleston,SC,29406,Charleston County,US,No_Match,,,,,,,
"HUNTER-FIELDS, LORI M.",33.984661,-81.207897,318 Carola Ln,Lexington,SC,29072,Lexington County,US,Match,Exact,70083357,L,45,063,021030,3000
"HUTSON, ROBIN D.",33.904793,-81.149371,1945 Blue Ridge Ter,West Columbia,SC,29170,Lexington County,US,No_Match,,,,,,,
HWY 1 TATTOO,34.16702,-80.800019,2535 US Hwy 1,Elgin,SC,29045,Kershaw County,US,Match,Non_Exact,78473680,R,45,055,970908,2007
IBROW DELUXE MEDICAL SPA,34.173948,-79.806471,2204 2nd Loop Rd,Florence,SC,29501,Florence County,US,Match,Exact,28883175,L,45,041,001300,2003
ICARE HOME SOLUTIONS LLC,32.837437,-79.854929,1469 Belle Point Dr,Mount Pleasant,SC,29464,Charleston County,US,Match,Non_Exact,627657425,L,45,019,004612,1004
IDA LANE I CRCF,34.11233,-80.980263,135 Ida Ln,Columbia,SC,29203,Richland County,US,Match,Exact,71822227,L,45,079,011421,1006
IDA LANE II CRCF,34.112344,-80.979079,140 Ida Ln,Columbia,SC,29203,Richland County,US,Match,Exact,71822227,R,45,079,011421,1005
IHC AGENCY,34.148154,-80.935085,305 Allaire Ct S,Columbia,SC,29229,Richland County,US,Match,Exact,635780589,L,45,079,010109,1026
IMMACULATE STUDIOS,34.001267,-81.018377,2017 College St Exd,Columbia,SC,29205,Richland County,US,Match,Exact,71869192,L,45,079,003000,2005
IMPERIAL INK TATTOO STUDIO,34.194804,-79.806528,2025 W Evans St,Florence,SC,29501,Florence County,US,Match,Non_Exact,647414798,R,45,041,001100,1003
IN HOME ASSISTED LIVING,34.825792,-82.411762,500 A Mills Ave,Greenville,SC,29605,Greenville County,US,Match,Exact,38339874,R,45,045,002108,2011
IN HOME CARE SERVICES,33.879474,-81.116864,3286 Fish Hatchery Rd,Gaston,SC,29053,Lexington County,US,Match,Exact,70057909,L,45,063,020708,2032
IN LOVING HANDS HOME CARE AGENCY,34.738115,-82.263708,314 W Georgia Rd,Simpsonville,SC,29681,Greenville County,US,Match,Non_Exact,38359751,L,45,045,003005,2022
INCREDIBLE INK,32.15559,-80.757135,37 New Orleans Rd,Hilton Head Island,SC,29928,Beaufort County,US,Match,Non_Exact,87615806,L,45,013,010300,2012
INDEPENDENT STAY HOMECARE,34.763938,-82.31627,2 Nucrop Ct,Mauldin,SC,29662,Greenville County,US,Match,Exact,38337734,R,45,045,002905,1032
INDIGO HALL,32.761323,-79.981252,230 Fleming Rd,Charleston,SC,29412,Charleston County,US,Match,Exact,108899466,L,45,019,001902,1002
INFINITE HOPE ADULT DAY CARE CENTER,34.165816,-80.298239,2320 Sumter Hwy,Bishopville,SC,29010,Lee County,US,Match,Exact,79601510,L,45,061,920302,4031
INFINITE LOVE CARE AGENCY,34.854117,-82.456081,6137 White Horse Rd,Greenville,SC,29611,Greenville County,US,No_Match,,,,,,,
INK ICONS TATTOO STUDIO,34.980722,-81.972769,7096 Howard St,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,19465329,R,45,083,021600,2018
INK KINGZ,35.009021,-81.954602,1527 Boiling Springs Rd,Boiling Springs,SC,29316,Spartanburg County,US,Match,Exact,19521758,L,45,083,021806,1016
INK REVOLUZION TATTOOS,32.28123,-81.080453,18736 Whyte Hardee Blvd,Hardeeville,SC,29927,Jasper County,US,Match,Exact,33148119,R,45,053,950302,1012
INK THERAPY CUSTOM TATTOO STUDIO,33.324697,-81.134821,381 E Hampton St,Denmark,SC,29042,Bamberg County,US,Tie,,,,,,,
INK WAVE,33.707613,-78.906544,704 Seaboard St,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,29071131,R,45,051,050600,1009
INKSCLUSIVE TATTOOS STUDIO,34.693986,-81.628943,417 Sardis Rd,Union,SC,29379,Union County,US,Match,Exact,19729582,R,45,087,030500,1036
INKWORKS PIERCING,34.665548,-82.178053,2283 S Main St,Fountain Inn,SC,29644,Laurens County,US,No_Match,,,,,,,
INKWORKS TATTOO,34.665548,-82.178053,2283 S Main St,Fountain Inn,SC,29644,Laurens County,US,No_Match,,,,,,,
INLET COASTAL RESORT,33.535422,-79.057896,NA US 17,Murrells Inlet,SC,29576,Georgetown County,US,No_Match,,,,,,,
INLET OAKS ASSISTED LIVING COMMUNITY,33.580375,-79.039491,12287 Hwy 707,Murrells Inlet,SC,29576,Horry County,US,Match,Non_Exact,648911566,R,45,051,051609,1002
INMAN OPERATIONS,35.050008,-82.091694,49 N Main St,Inman,SC,29349,Spartanburg County,US,Tie,,,,,,,
INNOVATIVE SOLUTIONS CONSULTING & COUNSELING GROUP,34.00347,-81.025392,1164 Henderson St,Columbia,SC,29201,Richland County,US,Match,Exact,638979685,R,45,079,003000,2010
INSIGHTS EDUCATIONAL AND TREATMENT SERVICES,34.051282,-81.101378,1504 St Andrews Rd,Columbia,SC,29210,Richland County,US,No_Match,,,,,,,
INTEGRITY HOME CARE,32.216371,-80.722771,200 Main St,Hilton Head Island,SC,29926,Beaufort County,US,No_Match,,,,,,,
INTEGRYS HOME CARE,34.945878,-81.914447,NA US 176,Spartanburg,SC,29302,Spartanburg County,US,No_Match,,,,,,,
INTERIM HEALTHCARE,32.882373,-80.016576,4956 Lacross Rd,Charleston,SC,29406,Charleston County,US,Match,Exact,645476373,R,45,019,003111,1010
INTERIM HEALTHCARE OF ROCK HILL,34.953982,-81.047373,154 107 Amendment Ave,Rock Hill,SC,29732,York County,US,Match,Exact,19809333,L,45,091,060908,2000
INTERIM HEALTHCARE OF THE TRIAD,34.954048,-81.047414,154 106 Amendment Ave,Rock Hill,SC,29732,York County,US,Match,Exact,19809333,R,45,091,060908,2000
INTERIM HEALTHCARE OF THE UPSTATE,34.854975,-82.241938,16 Hyland Rd,Greenville,SC,29615,Greenville County,US,Match,Exact,38327343,R,45,045,002820,2008
INTERIM HEALTHCARE OF THE UPSTATE HOSPICE,34.854975,-82.241938,16 Hyland Rd,Greenville,SC,29615,Greenville County,US,Match,Exact,38327343,R,45,045,002820,2008
INTERIM HEALTHCARE OF THE UPSTATE PERSONAL CARE,34.854975,-82.241938,16 Hyland Rd,Greenville,SC,29615,Greenville County,US,Match,Exact,38327343,R,45,045,002820,2008
INTERIM HEALTHCARE-CHARLESTON,32.845579,-80.01516,3842 State Rd S-10-475,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
INTERIM HEALTHCARE-ROCK HILL,34.953471,-81.047947,170 Amendment Ave,Rock Hill,SC,29732,York County,US,Match,Exact,19809333,R,45,091,060908,2000
INTRAMED PLUS,34.010487,-81.130697,112 Saluda Ridge Ct,West Columbia,SC,29169,Lexington County,US,Match,Exact,648716095,R,45,063,020506,2037
INTREPID USA HEALTHCARE SERVICES,32.97789,-80.064886,2689 Lake Park Dr,Charleston,SC,29406,Charleston County,US,Match,Exact,615115880,L,45,019,003115,1001
INTREPID USA HOSPICE-LOW COUNTRY,32.977629,-80.065128,2695 Lake Park Dr,Charleston,SC,29406,Charleston County,US,Match,Exact,615115879,L,45,019,003115,1001
INVERNESS AT SPARTANBURG,34.939065,-81.858594,2720 Country Club Rd,Spartanburg,SC,29302,Spartanburg County,US,Match,Exact,19472832,R,45,083,022101,1002
