Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,800,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,SC Municipal Association,20000,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,GPATS TAP Grant,509907,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,SC Dept of Commerce,205555,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,SC Recreational Trails Program,125000,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,SC Municipal Association,20000,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,SC Dept of Commerce,205555,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,SC Recreational Trails Program,125000,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",Pickens Railway Company,Private/Other Funding,1500,Phase I Environmental Assessment,12/17/12,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,Duke Energy Foundation,13000,Private/Other Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",Pickens Railway Company,Private/Other Funding,1500,Phase I Environmental Assessment,12/17/12,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,Pickens County,50000,Local Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,800,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,Duke Energy Foundation,13000,Private/Other Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,800,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,Pickens County,7000,Local Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,Duke Energy Foundation,13000,Private/Other Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,Pickens County,50000,Local Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,SC Dept of Commerce,205555,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,SC Recreational Trails Program,125000,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,GPATS TAP Grant,509907,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,Pickens County,7000,Local Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,GPATS TAP Grant,509907,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,Pickens County,50000,Local Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,Pickens County,7000,Local Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",Pickens Railway Company,Private/Other Funding,1500,Phase I Environmental Assessment,12/17/12,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,GPATS TAP Grant,509907,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",Pickens Railway Company,Private/Other Funding,1500,Phase I Environmental Assessment,12/17/12,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,Pickens County,7000,Local Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",Pickens Railway Company,Private/Other Funding,1500,Phase I Environmental Assessment,12/17/12,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,Appalachian Regional Commission,500000,Other Federal Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,800,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,AnMed Cannon Hospital,100000,Private/Other Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,800,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,SC Dept of Commerce,205555,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,800,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,SC Recreational Trails Program,125000,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,Appalachian Regional Commission,500000,Other Federal Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,SC Dept of Commerce,205555,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,City of Pickens,Cost Share,26000,,,Yes,,,Yes,,,,,,,,,,,SC Recreational Trails Program,125000,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,Duke Energy Foundation,13000,Private/Other Funding,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,2000,Phase I Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,SC Municipal Association,20000,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,800,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,GPATS TAP Grant,509907,State/Tribal Funding (non-section 128(a))&#10,11/6/17,
City of Pickens,Cleanup,,227781,Former Pickens Rail Depot,124 Railroad Street,PICKENS,SC,29671,1.86,Government,City of Pickens,"The 1.86 acre site was developed as a passenger train depot with railway yard and shipping warehouses as early as 1889.  The warehouse operation expanded in 1930.  A majority of the warehouse buildings reportedly burned down in the 1950s.  The existing building and open shed were built in the 1960s and operated as a box car assembly operation until approximately 1982 under various entities including Golden Tye, National Railway Utilization Corporation (NRUC) and Emergent Group.  After 1982, the",City of Pickens,Local Funding,5500,Phase II Environmental Assessment,11/20/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,8/14/17,9/1/17,1.86,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,127000,,,Yes,,,Yes,,,,,,,,,,,Pickens County,7000,Local Funding,11/6/17,
